moment_id,user_id,match_id,time,"real_time",multiple_users,userTestNumber
794,120,1,31000,"00:25",0,1
795,120,1,54000,"14:18",1,1
796,120,1,81000,"35:24",1,1
798,120,1,111000,"38:01",1,1
799,121,1,163000,"44:21",1,1
800,119,1,225000,"48:17",1,1
801,119,1,268000,"49:43",1,1
803,119,1,343000,"67:27",1,1
806,120,1,409000,"68:41",1,1
808,119,1,487000,"71:44",1,1
810,119,1,540000,"76:17",1,1
813,120,1,626000,"78:08",1,1
815,120,1,703000,"91:27",0,1
816,121,1,715000,"94:58",1,1
817,120,1,727000,"95:10",1,1
818,123,1,52000,"14:16",1,2
820,123,1,110000,"38:00",0,2
822,123,1,130000,"41:13",1,2
824,123,1,192000,"47:43",0,2
826,124,1,235000,"48:27",0,2
828,123,1,249000,"48:41",1,2
829,123,1,267000,"49:42",0,2
831,122,1,342000,"67:26",1,2
834,123,1,409000,"68:41",0,2
835,123,1,451000,"70:25",1,2
836,123,1,487000,"71:44",1,2
837,123,1,539000,"76:16",1,2
838,123,1,625000,"78:07",1,2
840,123,1,702000,"91:26",0,2
842,122,1,728000,"95:11",0,2
843,127,1,55000,"14:19",1,3
845,126,1,83000,"35:26",1,3
846,128,1,114000,"38:04",1,3
847,126,1,135000,"41:18",0,3
848,128,1,158000,"44:16",1,3
850,128,1,199000,"47:50",0,3
851,127,1,226000,"48:18",1,3
852,127,1,267000,"49:42",0,3
857,127,1,341000,"67:25",1,3
859,126,1,355000,"67:39",0,3
860,126,1,361000,"67:45",0,3
861,126,1,407000,"68:39",0,3
866,128,1,495000,"71:52",1,3
867,128,1,542000,"76:19",1,3
868,126,1,550000,"76:27",0,3
869,126,1,624000,"78:06",1,3
870,128,1,630000,"78:12",1,3
871,128,1,711000,"91:35",0,3
872,126,1,719000,"95:02",1,3
873,131,1,10000,"00:04",1,4
874,131,1,34000,"00:28",0,4
875,130,1,73000,"35:16",1,4
876,130,1,115000,"38:05",1,4
877,129,1,192000,"47:43",1,4
878,129,1,226000,"48:18",0,4
880,131,1,263000,"49:38",1,4
881,131,1,294000,"50:09",1,4
882,131,1,343000,"67:27",1,4
885,131,1,538000,"76:15",1,4
886,131,1,587000,"77:29",1,4
887,131,1,626000,"78:08",1,4
888,130,1,708000,"91:32",1,4
889,131,1,727000,"95:10",1,4
890,133,1,53000,"14:17",1,5
892,132,1,85000,"35:28",0,5
893,133,1,112000,"38:02",1,5
894,132,1,135000,"41:18",1,5
895,132,1,160000,"44:18",0,5
