response_id,moment_id,user_id,"opinion","emotion","heartrate",userTestNumber
159,794,120,"down","angry","",1
160,795,120,"up","connected","",1
161,795,121,"down","unhappy","",1
162,795,119,"up","surprise","",1
163,796,120,"up","angry","",1
164,796,121,"up","connected","",1
165,796,119,"up","surprise",NULL,1
166,798,120,"down","angry","",1
167,798,119,"up","surprise",NULL,1
168,799,121,"down","worry","",1
169,799,119,"up","connected",NULL,1
170,800,119,"down","worry","",1
171,800,120,"up","connected","",1
172,801,119,"up","elation","",1
173,801,120,"up","elation","",1
174,801,121,"up","elation","",1
176,803,119,"down","unhappy","",1
177,803,120,"down","angry","",1
178,803,121,"down","angry","",1
181,806,120,"down","worry","",1
182,806,119,"up","connected","",1
183,806,121,"up","elation","",1
186,808,119,"down","angry","",1
187,808,120,"down","angry","",1
188,808,121,"down","angry","",1
191,810,119,"up","elation","",1
192,810,121,"up","connected","",1
194,810,120,"up","elation",NULL,1
196,813,120,"up","elation","",1
197,813,119,"up","elation","",1
198,813,121,"up","elation",NULL,1
200,815,120,"up","connected","",1
201,816,121,"down","worry","",1
202,817,120,"up","connected","",1
203,817,121,"up","elation","",1
205,817,119,"up","elation",NULL,1
206,816,119,"up","surprise",NULL,1
207,818,123,"up","unhappy","",2
208,818,124,"up","connected","",2
209,818,122,"up","connected","",2
211,820,123,"down","angry","",2
212,820,122,"down","angry","",2
213,822,123,"up","connected","",2
214,822,122,"up","connected","",2
215,822,124,"up","connected","",2
217,820,124,"up","connected",NULL,2
218,824,123,"down","unhappy","",2
219,824,122,"down","angry","",2
221,826,124,"down","angry","",2
222,826,122,"up","worry","",2
223,828,123,"down","worry","",2
224,829,123,"up","elation","",2
225,829,124,"up","elation","",2
226,828,122,"up","elation",NULL,2
227,831,122,"down","worry","",2
228,831,123,"down","angry","",2
230,831,124,"down","angry","",2
232,834,123,"down","worry","",2
236,835,123,"down","worry","",2
237,836,123,"down","unhappy","",2
238,836,122,"down","unhappy",NULL,2
239,837,123,"up","elation","",2
240,837,124,"up","elation","",2
241,837,122,"up","elation",NULL,2
242,835,124,"down","unhappy",NULL,2
243,838,123,"up","elation","",2
244,838,124,"up","elation","",2
245,838,122,"up","connected","",2
248,840,123,"up","surprise","",2
249,840,122,"down","unhappy","",2
250,840,124,"up","connected","",2
251,842,122,"up","elation","",2
253,843,127,"down","angry","",3
254,843,126,"up","connected","",3
255,843,128,"up","connected","",3
256,845,126,"down","angry","",3
257,845,128,"up","connected","",3
258,846,128,"up","connected","",3
259,846,126,"up","unhappy","",3
260,847,126,"down","worry","",3
261,846,127,"up","unhappy",NULL,3
262,848,128,"up","worry","",3
263,848,126,"down","unhappy","",3
264,848,127,"up","connected",NULL,3
266,850,128,"up","unhappy","",3
267,851,127,"up","worry","",3
268,851,128,"up","worry","",3
269,852,127,"up","elation","",3
270,851,126,"up","elation","",3
271,852,128,"up","elation","",3
272,852,126,"up","elation","",3
